name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectorTeam,pageAsText,typeLocations,infraspecies,remarks,referenceRemarks,speciesAuthor,collectionDate1,locality,typeCoordinates,originalRemarks,bibliographicReference,typeChosenBy,typeRemarks,nameStatus,nameStatusType,originalTaxonDistribution,typeNote,bibliographicTypeInfo,typeName
Ebermaiera_macahensis,Glaz.,Glaz.,,spec.,/n/86559-2,Acanthaceae,Ebermaiera,macahensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1911,NA,58(Mém. 3f): 531,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 531. 1911 ,FALSE,TRUE,1.5,86559-2,urn:lsid:ipni.org:names:86559-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eranthemum_velutinum,W.Bull,W.Bull,,spec.,/n/313791-2,Acanthaceae,Eranthemum,velutinum,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Cat. New Beautiful Rare Pl. [W. Bull],1886,NA,8,17626-2,citation,Cat. New Beautiful Rare Pl. [W. Bull] 8. 1886 ,FALSE,TRUE,1.3,313791-2,urn:lsid:ipni.org:names:313791-2,wfo-0000670650,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1886&rft.spage=8&rft_id=http://www.biodiversitylibrary.org/bibliography/110080&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,"non (Lindau) Boerlage 1899. [Gandhi; B. L. Burtt, Edinburgh¹J. Bot. 54: 253. 1997]",NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerardia_brasiliensis,Spreng.,Spreng.,,spec.,/n/109354-2,Acanthaceae,Gerardia,brasiliensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,"Syst. Veg., ed. 16 [Sprengel]",1825,Jan-May 1825,2: 806,14620-2,citation,"Syst. Veg., ed. 16 [Sprengel] 2: 806. 1825 [Jan-May 1825] ",FALSE,TRUE,1.1.2.1.1.2,109354-2,urn:lsid:ipni.org:names:109354-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1825&rft.spage=806&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/822&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,s.n.,F.Sellow,NA,NA,NA,"[Gandhi; Fieldiana, Bot. 39: 61]",NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerardia_digitata,Spreng.,Spreng.,,spec.,/n/109368-2,Acanthaceae,Gerardia,digitata,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,"Syst. Veg., ed. 16 [Sprengel]",1825,Jan-May 1825,2: 808,14620-2,citation,"Syst. Veg., ed. 16 [Sprengel] 2: 808. 1825 [Jan-May 1825] ",FALSE,TRUE,1.1.2.1.1.2,109368-2,urn:lsid:ipni.org:names:109368-2,wfo-0000701656,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1825&rft.spage=808&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/822&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graptophyllum_medioauratum,Linden ex K.Koch,Linden ex K.Koch,,spec.,/n/60454912-2,Acanthaceae,Graptophyllum,medioauratum,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Wochenschr. Vereines Beförd. Gartenbaues Konigl. Preuss. Staaten,1871,20 May 1871,14(20): 159,7877-2,citation,Wochenschr. Vereines Beförd. Gartenbaues Konigl. Preuss. Staaten 14(20): 159. 1871 [20 May 1871] (as medio-auratum),FALSE,TRUE,1.1,60454912-2,urn:lsid:ipni.org:names:60454912-2,wfo-0000745954,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1871&rft.issue=20&rft.spage=159&rft.volume=14&rft_id=http://www.biodiversitylibrary.org/bibliography/5017&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,(as medio-auratum),NA,NA,NA,,NA,NA,NA,NA,nom. inval.    K. Koch did not accept the name,nom. inval.,NA,NA,NA,NA
Harpochilus_corrugatus,Zappi & F.A.Silva,Zappi & F.A.Silva,,spec.,/n/77297581-1,Acanthaceae,Harpochilus,corrugatus,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytotaxa,2022,10 May 2022,545(2): 152,20011462-1,citation,Phytotaxa 545(2): 152. 2022 [10 May 2022] [epublished],FALSE,TRUE,1.1,77297581-1,urn:lsid:ipni.org:names:77297581-1,wfo-1000030170,TRUE,TRUE,TRUE,FALSE,FALSE,NA,21212,"R.M.Harley, G.Bromley, A.M.Carvalho, J.L.Hage &amp; H.S.Brito",NA,holotype RB RB00035784;isotype CEPEC CEPEC00025754;isotype IPA IPA49664;isotype K K001046211;isotype MO MO1404739;isotype NY NY000484263;isotype SPF;isotype UEC UEC39262;isotype US US2950612,NA,doi:10.11646/phytotaxa.545.2.4 Etymology: 'The specific epithet refers to the corrugated leaf as seen with the naked eye on both young and mature leaves'.,[epublished],NA,11 Apr 1980,"Mun. Caetité, 1,5 km ao sul de Brejinho das Ametistas, 900 m",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hygrophila_angusta,Huber,Huber,,spec.,/n/125348-2,Acanthaceae,Hygrophila,angusta,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bull. Herb. Boissier,1901,NA,"ser. 2, 1: 324",573-2,citation,"Bull. Herb. Boissier ser. 2, 1: 324. 1901 ",FALSE,TRUE,1.3,125348-2,urn:lsid:ipni.org:names:125348-2,wfo-0000726757,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacobinia_breviloba,Lindau,Lindau,,spec.,/n/130991-2,Acanthaceae,Jacobinia,breviloba,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Herb. Boissier,1895,NA,3: 486,573-2,citation,Bull. Herb. Boissier 3: 486. 1895 ,FALSE,TRUE,1.1.2.1,130991-2,urn:lsid:ipni.org:names:130991-2,wfo-0001043927,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1895&rft.spage=486&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/49730&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacobinia_lancifolia,Glaz.,Glaz.,,spec.,/n/131006-2,Acanthaceae,Jacobinia,lancifolia,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1911,NA,58(Mém. 3f): 537,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 537. 1911 ,FALSE,TRUE,1.3,131006-2,urn:lsid:ipni.org:names:131006-2,wfo-0001043940,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacobinia_nervosa,Lindau,Lindau,,spec.,/n/131016-2,Acanthaceae,Jacobinia,nervosa,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1911,NA,58(Mém. 3f): 537,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 537. 1911 ,FALSE,TRUE,1.1.2.1.1.1,131016-2,urn:lsid:ipni.org:names:131016-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacobinia_sarmentosa,Glaz.,Glaz.,,spec.,/n/131029-2,Acanthaceae,Jacobinia,sarmentosa,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1911,NA,58(Mém. 3f): 538,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 538. 1911 ,FALSE,TRUE,1.3,131029-2,urn:lsid:ipni.org:names:131029-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justicia_blackii,Leonard,Leonard,,spec.,/n/132802-2,Acanthaceae,Justicia,blackii,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Contr. U.S. Natl. Herb.,1958,NA,"31: 508, fig. 189",605-2,citation,"Contr. U.S. Natl. Herb. 31: 508, fig. 189. 1958 ",FALSE,TRUE,1.3,132802-2,urn:lsid:ipni.org:names:132802-2,wfo-0000354242,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/398472&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,398472,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justicia_capitata,Glaz.,Glaz.,,spec.,/n/132824-2,Acanthaceae,Justicia,capitata,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1911,NA,58(Mém. 3f): 536,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 536. 1911 ,FALSE,TRUE,1.3,132824-2,urn:lsid:ipni.org:names:132824-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justicia_espiritosantensis,Aoyama & Indriunas,Aoyama & Indriunas,,spec.,/n/77297151-1,Acanthaceae,Justicia,espiritosantensis,tax. nov.,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytotaxa,2022,14 Apr 2022,543(3): 189,20011462-1,citation,Phytotaxa 543(3): 189. 2022 [14 Apr 2022] [epublished],FALSE,TRUE,1.1,77297151-1,urn:lsid:ipni.org:names:77297151-1,wfo-1000030234,TRUE,TRUE,TRUE,FALSE,FALSE,NA,1,Demuner,NA,holotype MBML;isotype RB,NA,"doi:10.11646/phytotaxa.543.3.3 Etymology: 'The epithet refers to Espírito Santo State, in Brazil'.",[epublished],NA,16 Sep 1999,"Santa Teresa, Mata do Banestes",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justicia_montealegrensis,F.A.Silva & Kameyama,F.A.Silva & Kameyama,,spec.,/n/77254314-1,Acanthaceae,Justicia,montealegrensis,tax. nov.,"Pará (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,,Syst. Bot.,2021,11 Aug 2021,46(2): 433,1295-2,citation,Syst. Bot. 46(2): 433. 2021 [11 Aug 2021] [epublished],FALSE,TRUE,1.1,77254314-1,urn:lsid:ipni.org:names:77254314-1,wfo-1000027513,TRUE,TRUE,TRUE,FALSE,FALSE,NA,4239,"D.C.Zappi, M.F.Devecchi &amp; M.Pastore",NA,holotype MG;isotype RB,NA,doi:10.1600/036364421X16231782047389,[epublished],NA,20 Jun 2018,"Monte Alegre, Parque Estadual de Monte Alegre, Estrada para Parque Estadual de Monte Alegre, Mata baixa, perto do Buriti",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justicia_multiglandulosa,F.A.Silva & Kameyama,F.A.Silva & Kameyama,,spec.,/n/77254315-1,Acanthaceae,Justicia,multiglandulosa,tax. nov.,"Pará (Brazil North, Brazil, Southern America);Amazonas (Brazil North, Brazil, Southern America);",FALSE,FALSE,TRUE,,Syst. Bot.,2021,11 Aug 2021,46(2): 434,1295-2,citation,Syst. Bot. 46(2): 434. 2021 [11 Aug 2021] [epublished],FALSE,TRUE,1.1,77254315-1,urn:lsid:ipni.org:names:77254315-1,wfo-1000027514,TRUE,TRUE,TRUE,FALSE,FALSE,NA,1841,"C.A.Cid, J.Ramos, C.D.Mota &amp; N.Rosas",NA,holotype RB;isotype INPA;isotype MG;isotype MO;isotype NY;isotype US,NA,doi:10.1600/036364421X16231782047389,[epublished],NA,25 Aug 1980,"Pará: Oriximiná, Rio Trombetas, margem esquerda, mata adjacente ao lago Ajudante",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justicia_neurochlamys,Leonard,Leonard,,spec.,/n/133002-2,Acanthaceae,Justicia,neurochlamys,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Contr. U.S. Natl. Herb.,1958,NA,"31: 517, fig. 192",605-2,citation,"Contr. U.S. Natl. Herb. 31: 517, fig. 192. 1958 ",FALSE,TRUE,1.3,133002-2,urn:lsid:ipni.org:names:133002-2,wfo-0000353453,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/398481&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,398481,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justicia_paraensis,"F.A.Silva, A.Gil & Kameyama","F.A.Silva, A.Gil & Kameyama",,spec.,/n/77254316-1,Acanthaceae,Justicia,paraensis,tax. nov.,"Pará (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,,Syst. Bot.,2021,11 Aug 2021,46(2): 439,1295-2,citation,Syst. Bot. 46(2): 439. 2021 [11 Aug 2021] [epublished],FALSE,TRUE,1.2,77254316-1,urn:lsid:ipni.org:names:77254316-1,wfo-1000027515,TRUE,TRUE,TRUE,FALSE,FALSE,NA,851,D.F.Silva,NA,holotype MG;isotype HCJS,NA,doi:10.1600/036364421X16231782047389,[epublished],NA,25 Jul 2013,"Parauapebas, estrada interna do Loteamento Chico Oliveira",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justicia_praetermissa,Wassh. & J.R.I.Wood,Wassh. & J.R.I.Wood,,spec.,/n/60426702-2,Acanthaceae,Justicia,praetermissa,tax. nov.,"Bolivia (Western South America, Southern America);Paraguay (Southern South America, Southern America);Mato Grosso do Sul (Brazil West-Central, Brazil, Southern America);",FALSE,FALSE,TRUE,,Kew Bull.,2004,2003 publ. 9 Feb 2004,58(4): 779,987-2,citation,Kew Bull. 58(4): 779. 2004 [2003 publ. 9 Feb 2004] ,FALSE,TRUE,1.1.2.1.1.3,60426702-2,urn:lsid:ipni.org:names:60426702-2,wfo-0001272567,FALSE,TRUE,TRUE,FALSE,FALSE,NA,16855,J.R.I.Wood; D.J.Goyder,NA,holotype K;isotype US;isotype LPB;isotype USZ,NA,NA,NA,NA,19 Jan 2001,"Santa Cruz: Alto Camiri, 1-2km from main highway, c. 3km S of Camiri, 850m",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justicia_pusilla,M.J.Silva,M.J.Silva,,spec.,/n/77222550-1,Acanthaceae,Justicia,pusilla,tax. nov.,"Goiás (Brazil West-Central, Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytotaxa,2021,11 Nov 2021,525(1): 38,20011462-1,citation,Phytotaxa 525(1): 38. 2021 [11 Nov 2021] [epublished],FALSE,TRUE,1.3,77222550-1,urn:lsid:ipni.org:names:77222550-1,wfo-1200008435,TRUE,TRUE,TRUE,FALSE,FALSE,NA,12685,M.J.Silva &amp; I.S.Santos,NA,holotype UFG;isotype CEN;isotype RB;isotype UB,NA,"doi:10.11646/phytotaxa.525.1.4 The specific epithet is derived from the Latin 'pusillus', alluding to the small size of the species as compared to congeners.",[epublished],NA,23 Jun 2021,"Niquelândia, Reserva particular de Desenvolvimento Sustentável Legado Verdes do Cerrado, Núcleo Engenho, Córrego da Sociedade, c. 150 m a partir do Corrégo, 629 m",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justicia_schwackeana,Lindau,Lindau,,spec.,/n/133102-2,Acanthaceae,Justicia,schwackeana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bull. Herb. Boissier,1895,NA,3: 482,573-2,citation,Bull. Herb. Boissier 3: 482. 1895 ,FALSE,TRUE,1.1.2.1,133102-2,urn:lsid:ipni.org:names:133102-2,wfo-0000354057,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1895&rft.spage=482&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/49730&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justicia_spathulata,Nees & Mart.,Nees & Mart.,,spec.,/n/324231-2,Acanthaceae,Justicia,spathulata,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Nova Acta Phys.-Med. Acad. Caes. Leop.-Carol. Nat. Cur.,1823,NA,11(1): 55,1025-2,citation,Nova Acta Phys.-Med. Acad. Caes. Leop.-Carol. Nat. Cur. 11(1): 55. 1823 ,FALSE,TRUE,1.5,324231-2,urn:lsid:ipni.org:names:324231-2,wfo-0000354025,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1823&rft.issue=1&rft.spage=55&rft.volume=11&rft_id=http://www.biodiversitylibrary.org/bibliography/65147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,s.n.,F.Sellow,NA,null B,NA,later homonym (non Thunb. 1784); replaced by Beloperone spathulata Nees (1847),NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justicia_wittigiana,Glaz.,Glaz.,,spec.,/n/133166-2,Acanthaceae,Justicia,wittigiana,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1911,NA,58(Mém. 3f): 536,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 536. 1911 ,FALSE,TRUE,1.3,133166-2,urn:lsid:ipni.org:names:133166-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
